NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,3,27,27,27,1,2,7,25,7,27,0.1148484,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.2009964,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.3034952,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.4016955,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.5022299,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.601016,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.7014458,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.8019511,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,0.9014873,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.003215,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.102726,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.204192,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.302006,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.404208,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.502032,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,3,27,27,27,1,2,7,25,7,27,1.603688,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,1.700328,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,1.803474,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,1.905856,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,3,27,27,27,1,2,7,25,7,27,2.002091,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.103111,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.203046,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.303888,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.400719,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.500966,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.603592,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.704399,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.803424,1
1,1,1,1,10.60753,14.00758,2.507556,8.107554,15,3,3,27.3,27.3,27,1,2,7,25,7,27,2.901653,4
2,2,1,1,0.6084726,0.008527515,3.007558,7.607552,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.000815,4
2,2,1,1,0.6084726,0.008527515,3.50756,7.107551,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.102018,4
2,2,1,1,0.6084726,0.008527515,4.007562,6.607548,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.202929,4
2,2,1,1,0.6084726,0.008527515,4.507563,6.107547,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.302664,4
2,2,1,1,0.6084726,0.008527515,5.007565,5.607544,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.402213,4
2,2,1,1,0.6084726,0.008527515,5.507565,5.107544,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.501758,4
1,2,1,1,10.60753,0.008527515,6.007565,4.607544,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.602293,4
1,2,1,1,10.60753,0.008527515,6.507565,4.107545,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.702103,4
2,2,1,1,0.6084726,0.008527515,7.007564,3.607546,15,3,3,27.3,27.3,27,1,2,7,25,7,27,3.803314,4
