NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,7,23,25,0.1066266,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.2021668,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.3011336,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.401702,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.502759,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.6027247,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.7029788,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.800649,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,0.9028241,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.002689,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.10317,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.203954,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.301296,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.401059,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.50108,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,7,23,25,1.600029,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,1.700629,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,1.80256,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,1.900546,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,7,23,25,2.003424,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,3,26.5,27.3,27,1,2,23,7,23,25,2.10109,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,3,26,27.3,27,1,2,23,7,23,25,2.200659,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,3,25.49999,27.3,27,1,2,23,7,23,25,2.302389,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,3,24.99999,27.3,27,1,2,23,7,23,25,2.401949,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,3,24.49999,27.3,27,1,2,23,7,23,25,2.505012,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,3,23.99999,27.3,27,1,2,23,7,23,25,2.603282,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,3,23.49999,27.3,27,1,2,23,7,23,25,2.702663,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,3,22.99998,27.3,27,1,2,23,7,23,25,2.802217,1
1,1,1,1,10.60753,14.00758,2.307555,8.307555,15,3,3,22.49998,27.3,27,1,2,23,7,23,25,2.900232,0
2,2,1,1,0.6084726,0.008527515,2.707557,7.907553,15,3,3,21.99998,27.3,27,1,2,23,7,23,25,3.000618,4
2,2,1,5,0.6084726,0.008527515,3.207559,5.5118,15,3,3,21.49998,27.3,27,1,2,23,7,23,25,3.100898,4
