NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,3.0,27.0,27.0,27.0,7.0,25.0,0.1377832,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,3.0,27.0,27.0,27.0,7.0,25.0,0.2005708,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,3.0,27.0,27.0,27.0,7.0,25.0,0.301672,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,3.0,27.0,27.0,27.0,7.0,25.0,0.4019799,0.0
0,1.0,2.0,2.0,0.0,0.7075546,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,0.5019955,1.0
0,1.0,2.0,2.0,0.0,1.207554,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,0.6019008,1.0
0,1.0,2.0,2.0,0.0,1.707554,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,0.7015219,1.0
0,1.0,2.0,2.0,0.0,2.207553,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,0.8007385,1.0
0,1.0,2.0,2.0,0.0,2.707553,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,0.9028921,1.0
0,1.0,2.0,2.0,0.0,3.207552,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,1.002701,1.0
0,1.0,2.0,2.0,0.0,3.707552,0.3085001,0.3085,3.0,27.0,27.0,27.0,7.0,25.0,1.103794,1.0
0,1.0,2.0,2.0,0.0,4.207551,8.3085,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,1.202113,1.0
0,1.0,2.0,1.0,0.0,4.707551,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.303121,1.0
0,1.0,2.0,1.0,0.0,5.207551,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.40159,1.0
0,1.0,2.0,1.0,0.0,5.707551,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.503206,1.0
0,1.0,2.0,1.0,0.0,6.207554,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.602068,1.0
0,1.0,2.0,1.0,0.0,6.707556,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.701979,1.0
0,1.0,2.0,1.0,0.0,7.207557,0.3085001,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.801973,1.0
0,1.0,2.0,1.0,0.0,7.70756,0.3085,0.3075551,3.0,27.0,27.0,27.0,7.0,25.0,1.90232,1.0
0,1.0,2.0,2.0,0.0,8.207561,0.3085001,0.3085001,3.0,27.0,27.0,27.0,7.0,25.0,2.003817,1.0
0,1.0,2.0,2.0,0.0,8.707563,0.3085001,0.3085001,3.0,26.5,27.0,27.0,7.0,25.0,2.10605,1.0
0,1.0,2.0,2.0,0.0,9.207565,0.3085001,0.3085001,3.0,26.0,27.0,27.0,7.0,25.0,2.203774,1.0
0,1.0,2.0,2.0,0.0,9.707567,0.3085001,0.3085001,3.0,25.49999,27.0,27.0,7.0,25.0,2.302993,1.0
0,1.0,2.0,1.0,0.0,10.20757,0.3085001,8.307555,3.0,24.99999,27.0,27.0,7.0,25.0,2.400833,1.0
0,1.0,2.0,2.0,0.0,10.70757,0.3085001,0.3085001,3.0,24.49999,27.0,27.0,7.0,25.0,2.502674,1.0
0,1.0,2.0,2.0,0.0,11.20757,0.3085001,0.3085001,3.0,23.99999,27.0,27.0,7.0,25.0,2.6012,1.0
0,1.0,2.0,2.0,0.0,11.70757,0.3085001,0.3085,3.0,23.49999,27.0,27.0,7.0,25.0,2.700201,1.0
0,1.0,2.0,2.0,0.0,12.20758,0.3085001,0.3085001,3.0,22.99998,27.0,27.0,7.0,25.0,2.801996,1.0
0,1.0,2.0,2.0,0.0,12.70758,0.3085001,0.3085001,3.0,22.49998,27.0,27.0,7.0,25.0,2.902478,1.0
1,1.0,2.0,2.0,11.40753,13.20758,0.3085001,0.3085001,3.0,21.99998,27.0,27.0,7.0,25.0,3.00301,1.0
1,1.0,2.0,2.0,10.90753,13.70758,0.3085001,0.3085001,3.0,21.49998,27.0,27.0,7.0,25.0,3.104876,1.0
1,1.0,1.0,5.0,10.60753,14.00758,2.307555,6.42962,3.0,20.99998,27.0,27.0,7.0,25.0,3.206027,4.0
2,2.0,1.0,1.0,0.6084726,0.008527515,2.807557,7.807554,3.0,20.49998,27.0,27.0,7.0,25.0,3.303597,4.0
2,2.0,1.0,1.0,0.6084726,0.008527515,3.307559,7.307551,3.0,19.99997,27.0,27.0,7.0,25.0,3.403762,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,3.807561,0.0,3.0,19.49997,27.0,27.0,7.0,25.0,3.501117,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,4.307562,0.0,3.0,18.99997,27.0,27.0,7.0,25.0,3.603812,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,4.807565,0.0,3.0,18.49997,27.0,27.0,7.0,25.0,3.701224,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,5.307566,0.0,3.0,17.99997,27.0,27.0,7.0,25.0,3.80383,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,5.807566,0.0,3.0,17.49996,27.0,27.0,7.0,25.0,3.901684,4.0
1,2.0,1.0,0.0,10.60753,0.008527515,6.307565,0.0,3.3,17.29996,27.0,27.0,7.0,25.0,4.002117,4.0
2,2.0,1.0,0.0,0.6084726,0.008527515,6.807565,0.0,2.8,17.29996,27.0,27.3,7.0,25.0,4.102916,4.0
2,2.0,1.0,1.0,0.6084726,0.008527515,7.307564,3.307546,100.0,100.0,27.0,27.3,7.0,25.0,4.200305,4.0
2,2.0,1.0,1.0,0.6084726,0.008527515,7.807564,2.807547,100.0,100.0,27.0,27.3,7.0,25.0,4.301067,4.0
2,2.0,1.0,1.0,0.6084726,4.008527,8.307563,2.307547,100.0,100.0,27.0,27.3,7.0,25.0,4.402268,4.0
2,1.0,1.0,1.0,0.6084726,1.008528,8.807563,1.807548,100.0,100.0,27.0,27.3,7.0,25.0,4.501082,4.0
2,1.0,1.0,1.0,0.6084726,1.008528,8.707562,1.907547,100.0,100.0,27.0,27.3,7.0,25.0,4.604949,3.0
