NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.1641078,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.2027285,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.300206,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.4003617,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.5018553,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.6002626,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.704217,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.8015513,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,0.9035416,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.005481,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.102356,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.201607,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.302468,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.400193,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,27.0,27.0,3.0,27.0,17.0,27.0,1.501973,0.0
0,1.0,2.0,0.0,0.0,0.3075551,0.3085001,0.0,27.0,27.0,3.0,27.0,17.0,27.0,1.601051,0.0
0,1.0,2.0,0.0,0.0,0.3075551,0.3085001,0.0,27.0,27.0,3.0,27.0,17.0,27.0,1.702749,0.0
0,1.0,2.0,0.0,0.0,0.6075547,0.3085001,0.0,27.0,27.0,3.0,27.0,17.0,27.0,1.80794,1.0
0,1.0,2.0,2.0,0.0,1.107554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,17.0,27.0,1.907809,1.0
0,1.0,2.0,2.0,0.0,1.607554,0.3085001,0.3085001,27.0,27.0,3.0,27.0,17.0,27.0,2.001088,1.0
0,1.0,2.0,2.0,0.0,2.107553,0.3085001,0.3085001,27.0,26.5,3.0,26.5,17.0,27.0,2.100352,1.0
0,1.0,2.0,2.0,0.0,2.607553,0.3085001,0.3085001,27.0,26.0,3.0,26.0,17.0,27.0,2.200669,1.0
0,1.0,2.0,2.0,0.0,3.107553,0.3085001,0.3085001,27.0,25.49999,3.0,25.49999,17.0,27.0,2.30079,1.0
0,1.0,2.0,2.0,0.0,3.607552,0.3085001,0.3085001,27.0,24.99999,3.0,24.99999,17.0,27.0,2.402673,1.0
0,1.0,2.0,2.0,0.0,4.107552,8.3085,0.3085001,27.0,24.49999,3.0,24.49999,17.0,27.0,2.500635,1.0
0,1.0,2.0,2.0,0.0,4.607551,8.3085,0.3085001,27.0,23.99999,3.0,23.99999,17.0,27.0,2.601583,1.0
1,1.0,2.0,1.0,19.50756,5.10755,0.3085001,0.3075551,27.0,23.49999,3.0,23.49999,17.0,27.0,2.701442,1.0
1,1.0,2.0,1.0,19.00756,5.607551,0.3085001,0.3075551,27.0,22.99998,3.0,22.99998,17.0,27.0,2.800387,1.0
1,1.0,2.0,1.0,18.50756,6.107553,0.3085001,0.3075551,27.0,22.49998,3.0,22.49998,17.0,27.0,2.900258,1.0
1,1.0,2.0,1.0,18.00756,6.607555,0.3085001,0.3075551,27.0,21.99998,3.0,21.99998,17.0,27.0,3.003201,1.0
1,1.0,2.0,1.0,17.50755,7.107557,0.3085001,0.3075551,27.0,21.49998,3.0,21.49998,17.0,27.0,3.10273,1.0
1,1.0,2.0,1.0,17.00755,7.607559,0.3085001,0.3075551,27.0,20.99998,3.0,20.99998,17.0,27.0,3.200259,1.0
1,1.0,2.0,2.0,16.10755,8.507563,0.3085001,0.3085001,27.0,20.09997,3.0,20.09997,17.0,27.0,3.390781,1.0
1,1.0,2.0,2.0,16.00755,8.607563,0.3085001,0.3085001,27.0,19.99997,3.0,19.99997,17.0,27.0,3.401674,1.0
1,1.0,2.0,2.0,15.50755,9.107565,0.3085001,0.3085001,27.0,19.49997,3.0,19.49997,17.0,27.0,3.500584,1.0
1,1.0,2.0,2.0,15.00754,9.607568,0.3085001,0.3085001,27.0,18.99997,3.0,18.99997,17.0,27.0,3.603164,1.0
1,1.0,2.0,1.0,14.50754,10.10757,0.3085001,8.307555,27.0,18.49997,3.0,18.49997,17.0,27.0,3.702067,1.0
1,1.0,2.0,1.0,14.00754,10.60757,0.3085001,8.307555,27.0,17.99997,3.0,17.99997,17.0,27.0,3.801281,1.0
1,1.0,2.0,2.0,13.50754,11.10757,0.3085001,0.3085001,27.0,17.49996,3.0,17.49996,17.0,27.0,3.9015,1.0
1,1.0,2.0,2.0,13.00754,11.60757,0.3085001,0.3085001,27.0,16.99996,3.0,16.99996,17.0,27.0,4.001301,1.0
1,1.0,2.0,2.0,12.50753,12.10758,0.3085001,0.3085001,27.3,16.99996,3.5,16.99996,17.0,27.0,4.102726,1.0
1,1.0,2.0,2.0,12.00753,12.60758,0.3085001,0.3085001,27.3,16.99996,3.999999,16.99996,17.0,27.0,4.202991,1.0
1,1.0,2.0,2.0,11.50753,13.10758,0.3085001,0.3085001,27.3,16.99996,4.499999,16.99996,17.0,27.0,4.301205,1.0
1,1.0,2.0,2.0,11.20753,13.40758,0.4085005,0.2084997,27.3,16.99996,4.999998,16.99996,17.0,27.0,4.402141,4.0
1,1.0,2.0,2.0,11.20753,13.40758,0.6085013,0.008498904,27.3,16.99996,5.499998,16.99996,17.0,27.0,4.505397,4.0
1,1.0,2.0,2.0,11.40753,13.20758,0.6085013,0.008498904,27.3,16.99996,5.999997,16.99996,17.0,27.0,4.601165,2.0
1,1.0,2.0,2.0,11.90753,12.70758,0.6085013,0.008498904,27.3,16.99996,6.499997,16.99996,17.0,27.0,4.702807,2.0
1,1.0,2.0,2.0,12.40754,12.20758,0.6085013,0.008498904,27.3,16.99996,6.999996,16.99996,17.0,27.0,4.800781,2.0
1,1.0,2.0,2.0,12.90754,11.70757,0.6085013,0.008498904,27.3,16.99996,7.499996,16.99996,17.0,27.0,4.900797,2.0
1,1.0,2.0,2.0,13.40754,11.20757,0.6085013,0.008498904,27.3,16.99996,7.999995,16.99996,17.0,27.0,5.003709,2.0
1,1.0,2.0,2.0,13.70754,10.90757,0.6085013,0.008498904,27.3,16.99996,8.499997,16.99996,17.0,27.0,5.103538,0.0
1,1.0,2.0,2.0,13.40754,11.20757,0.6085013,0.008498904,27.3,16.99996,8.999999,16.99996,17.0,27.0,5.203077,1.0
6,1.0,2.0,2.0,1.257693,11.70757,0.6085013,0.008498904,27.3,16.99996,9.500001,16.99996,17.0,27.0,5.30051,1.0
6,1.0,2.0,2.0,0.7576913,12.20758,0.6085013,0.008498904,27.3,16.99996,10.0,16.99996,17.0,27.0,5.402089,1.0
1,1.0,2.0,2.0,11.90753,12.70758,0.6085013,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,5.500753,1.0
1,1.0,2.0,2.0,11.50753,13.10758,0.6085013,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,5.602582,0.0
1,1.0,2.0,2.0,11.60753,13.00758,0.6085012,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,5.70392,2.0
1,1.0,2.0,2.0,12.10753,12.50758,0.6085013,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,5.802063,2.0
1,1.0,2.0,2.0,12.60754,12.00758,0.6085013,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,5.902282,2.0
1,1.0,2.0,2.0,13.10754,11.50757,0.6085013,0.008498904,27.3,16.99996,100.0,100.0,17.0,27.0,6.003028,3.0
